age,dia,complication,cost_fatal,cost_nonfatal,cost_maintain
age1,D1,macrovascular,3687.70238,9224.748047,2303.862988
age1,D2,macrovascular,3815.555856,9303.1356,2320.043501
age1,D1,microvascular,10707.62229,12574.77927,7756.733713
age1,D2,microvascular,9470.506547,11015.04891,4537.640436
age1,D1,other,0,3480.539618,4069.343983
age1,D2,other,0,3393.403845,3955.349154
age2,D1,macrovascular,3690.505405,8987.925997,2306.062628
age2,D2,macrovascular,3794.337949,9028.349067,2323.475157
age2,D1,microvascular,9146.415629,11581.98121,8257.949985
age2,D2,microvascular,6937.499273,9295.0512,4839.934231
age2,D1,other,0,3372.839119,3928.445479
age2,D2,other,0,3321.125758,3860.791799
age3,D1,macrovascular,3809.641965,8479.123602,2345.973738
age3,D2,macrovascular,3884.21575,8460.173155,2363.70152
age3,D1,microvascular,7927.69495,10609.20092,7724.011681
age3,D2,microvascular,5755.873708,8470.967868,4879.346368
age3,D1,other,0,3341.853424,3887.908639
age3,D2,other,0,3288.723041,3818.401148
