age,dia,complication,cost_fatal,cost_nonfatal,cost_maintain
age1,D1,macrovascular,2883.75114,9649.54105,2175.669106
age1,D2,macrovascular,3021.897271,9788.645809,2185.05666
age1,D1,microvascular,17769.90325,19676.08998,16053.96141
age1,D2,microvascular,18600.26115,20489.1941,17626.86666
age1,D1,other,0,407.2271367,48.70216849
age1,D2,other,0,394.1634958,31.6117421
age2,D1,macrovascular,2860.246846,9101.007018,2200.345998
age2,D2,macrovascular,2930.154949,9158.808503,2206.655568
age2,D1,microvascular,11455.62968,13942.22797,10213.24423
age2,D2,microvascular,10793.15293,13362.90654,9903.726688
age2,D1,other,0,446.8767391,100.5735127
age2,D2,other,0,424.1332296,70.81945875
age3,D1,macrovascular,3007.598239,8774.931801,2229.354657
age3,D2,macrovascular,3071.393784,8682.713275,2248.340242
age3,D1,microvascular,8905.029094,11633.50531,7955.096354
age3,D2,microvascular,9071.481686,11788.4806,8161.152053
age3,D1,other,0,486.6439426,152.5987078
age3,D2,other,0,451.8639903,107.0980528
