age,dia,complication,disutil_non_fatal,disutil_maintain
age1,D1,macrovascular,0.075731865,0.034112735
age1,D2,macrovascular,0.074325469,0.033898669
age1,D1,microvascular,0.17286447,0.17286447
age1,D2,microvascular,0.192544304,0.192544304
age1,D1,other,0.114589309,0.039769231
age1,D2,other,0.11137931,0.038655172
age2,D1,macrovascular,0.08365287,0.033957766
age2,D2,macrovascular,0.081881228,0.033721339
age2,D1,microvascular,0.140546506,0.140546506
age2,D2,microvascular,0.146507968,0.146507968
age2,D1,other,0.110621725,0.038392246
age2,D2,other,0.108716655,0.037731074
age3,D1,macrovascular,0.094761711,0.033153535
age3,D2,macrovascular,0.093424467,0.032896675
age3,D1,microvascular,0.126905145,0.126905145
age3,D2,microvascular,0.126304895,0.126304895
age3,D1,other,0.109480242,0.037996084
age3,D2,other,0.107522969,0.037316795
