age,dia,complication,LOS
age1,D1,macrovascular,7.676571736
age1,D2,macrovascular,7.648880823
age1,D1,microvascular,8.370572819
age1,D2,microvascular,12.14113924
age1,D1,other,10.20325945
age1,D2,other,10.05862069
age2,D1,macrovascular,7.911348465
age2,D2,macrovascular,7.884247609
age2,D1,microvascular,4.720231214
age2,D2,microvascular,7.159960159
age2,D1,other,10.02448481
age2,D2,other,9.938644557
age3,D1,macrovascular,8.322839686
age3,D2,macrovascular,8.318076178
age3,D1,microvascular,3.575401929
age3,D2,microvascular,5.023496503
age3,D1,other,9.973050908
age3,D2,other,9.884858508
