age,dia,complication,prop_hosp
age1,D1,macrovascular,0.586306824
age1,D2,macrovascular,0.552677556
age1,D1,microvascular,0.354548858
age1,D2,microvascular,0.534810127
age1,D1,other,0.344850065
age1,D2,other,0.335862069
age2,D1,macrovascular,0.655446373
age2,D2,macrovascular,0.626291897
age2,D1,microvascular,0.175512349
age2,D2,microvascular,0.289840637
age2,D1,other,0.333740831
age2,D2,other,0.328406633
age3,D1,macrovascular,0.751570556
age3,D2,macrovascular,0.734433505
age3,D1,microvascular,0.118167203
age3,D2,microvascular,0.184615385
age3,D1,other,0.330544678
age3,D2,other,0.325064315
