name,val
mu_a0,0.000283172
mu_a1,0.000627476
mu_a2,0.00364958
mu_a3,0.036419169
rho_1,8.00E-05
rho_2,0.00012
alpha_1_a1,0.033067322
alpha_2_a1,0.03123998
alpha_1_a2,0.030793739
alpha_2_a2,0.029834787
alpha_1_a3,0.030076794
alpha_2_a3,0.029138111
beta_1_a1,0.028045265
beta_2_a1,0.016244297
beta_1_a2,0.019978023
beta_2_a2,0.010281783
beta_1_a3,0.012903528
beta_2_a3,0.007300963
gamma_1_a1,0.019113412
gamma_2_a1,0.016939224
gamma_1_a2,0.023156376
gamma_2_a2,0.020405918
gamma_1_a3,0.035979738
gamma_2_a3,0.032265039
tau_alpha_a1,0
tau_alpha_a2,0
tau_alpha_a3,0
tau_beta_a1,0.030965095
tau_beta_a2,0.053810664
tau_beta_a3,0.069427713
tau_gamma_a1,0.12386038
tau_gamma_a2,0.215242658
tau_gamma_a3,0.277710854
kappa_0,0.05
kappa_1,0.032
kappa_2,0.045
kappa_3,0.0007
